"Date","Price","Open","High","Low","Vol.","Change %"
"11/06/2001","1,118.90","1,102.80","1,119.70","1,095.40","","1.46%"
"11/05/2001","1,102.80","1,087.20","1,106.70","1,087.20","","1.43%"
"11/02/2001","1,087.20","1,080.50","1,089.60","1,075.60","","0.29%"
"11/01/2001","1,084.10","1,063.10","1,085.60","1,054.30","","2.29%"
"10/31/2001","1,059.80","1,066.40","1,074.80","1,057.50","","0.00%"
"10/30/2001","1,059.80","1,078.30","1,078.30","1,053.60","","-1.72%"
"10/29/2001","1,078.30","1,099.80","1,104.60","1,078.30","","-2.38%"
"10/26/2001","1,104.60","1,096.20","1,110.60","1,094.20","","0.41%"
"10/25/2001","1,100.10","1,072.70","1,100.10","1,065.60","","1.37%"
"10/24/2001","1,085.20","1,085.20","1,090.30","1,080.00","","0.04%"
"10/23/2001","1,084.80","1,093.90","1,099.00","1,081.50","","-0.47%"
"10/22/2001","1,089.90","1,073.50","1,090.60","1,070.30","","1.53%"
"10/19/2001","1,073.50","1,066.60","1,075.50","1,057.20","","0.46%"
"10/18/2001","1,068.60","1,074.40","1,077.90","1,064.50","","-0.79%"
"10/17/2001","1,077.10","1,107.60","1,107.10","1,076.60","","-1.86%"
"10/16/2001","1,097.50","1,093.70","1,101.70","1,087.10","","0.69%"
"10/15/2001","1,090.00","1,083.40","1,091.70","1,078.20","","-0.16%"
"10/12/2001","1,091.70","1,088.40","1,097.40","1,072.20","","-0.52%"
"10/11/2001","1,097.40","1,081.00","1,099.20","1,081.00","","1.52%"
"10/10/2001","1,081.00","1,055.30","1,081.60","1,052.70","","2.29%"
"10/09/2001","1,056.80","1,062.90","1,063.40","1,053.80","","-0.53%"
"10/08/2001","1,062.40","1,060.30","1,071.40","1,056.90","","-0.84%"
"10/05/2001","1,071.40","1,069.60","1,072.30","1,053.50","","0.17%"
"10/04/2001","1,069.60","1,072.30","1,084.10","1,067.80","","-0.25%"
"10/03/2001","1,072.30","1,042.90","1,075.40","1,041.50","","2.00%"
"10/02/2001","1,051.30","1,037.60","1,051.30","1,034.50","","1.23%"
"10/01/2001","1,038.50","1,037.90","1,040.90","1,026.80","","-0.23%"
"09/28/2001","1,040.90","1,028.50","1,040.90","1,018.60","","2.19%"
"09/27/2001","1,018.60","1,007.00","1,018.90","998.20","","1.15%"
"09/26/2001","1,007.00","1,012.30","1,020.30","1,002.60","","-0.52%"
"09/25/2001","1,012.30","1,003.50","1,017.10","998.30","","0.88%"
"09/24/2001","1,003.50","965.80","1,008.40","965.80","","3.90%"
"09/21/2001","965.80","984.50","984.50","944.80","","-1.90%"
"09/20/2001","984.50","1,016.10","1,016.10","984.50","","-3.11%"
"09/19/2001","1,016.10","1,032.70","1,038.90","984.60","","-1.61%"
"09/18/2001","1,032.70","1,038.80","1,046.40","1,029.20","","-0.59%"
"09/17/2001","1,038.80","1,092.50","1,092.50","1,037.50","","-4.92%"
"09/10/2001","1,092.50","1,085.80","1,096.90","1,073.20","","0.62%"
"09/07/2001","1,085.80","1,106.40","1,106.40","1,082.10","","-1.86%"
"09/06/2001","1,106.40","1,131.70","1,131.70","1,105.80","","-2.24%"
"09/05/2001","1,131.70","1,132.90","1,135.50","1,114.90","","-0.11%"
