"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2008","1,214.90","1,226.80","1,234.30","1,200.40","","-1.09%"
"07/14/2008","1,228.30","1,241.60","1,253.50","1,225.00","","-0.90%"
"07/11/2008","1,239.50","1,248.70","1,257.30","1,225.30","","-1.11%"
"07/10/2008","1,253.40","1,245.20","1,257.70","1,236.80","","0.70%"
"07/09/2008","1,244.70","1,273.40","1,277.40","1,244.60","","-2.28%"
"07/08/2008","1,273.70","1,251.80","1,274.20","1,242.80","","1.71%"
"07/07/2008","1,252.30","1,262.90","1,274.00","1,240.70","","-0.84%"
"07/03/2008","1,262.90","1,263.00","1,271.50","1,252.00","","0.11%"
"07/02/2008","1,261.50","1,285.80","1,292.20","1,261.50","","-1.82%"
"07/01/2008","1,284.90","1,276.70","1,285.30","1,260.70","","0.38%"
"06/30/2008","1,280.00","1,278.10","1,290.30","1,274.90","","0.13%"
"06/27/2008","1,278.40","1,283.60","1,289.50","1,272.00","","-0.37%"
"06/26/2008","1,283.20","1,316.30","1,316.30","1,283.20","","-2.93%"
"06/25/2008","1,322.00","1,314.50","1,335.60","1,314.50","","0.59%"
"06/24/2008","1,314.30","1,317.20","1,326.00","1,304.40","","-0.28%"
"06/23/2008","1,318.00","1,319.80","1,323.80","1,315.30","","0.01%"
"06/20/2008","1,317.90","1,341.00","1,341.00","1,314.50","","-1.85%"
"06/19/2008","1,342.80","1,336.90","1,347.70","1,330.50","","0.37%"
"06/18/2008","1,337.80","1,349.60","1,349.60","1,333.40","","-0.97%"
"06/17/2008","1,350.90","1,360.70","1,366.60","1,350.50","","-0.68%"
"06/16/2008","1,360.10","1,358.80","1,364.70","1,352.10","","0.01%"
"06/13/2008","1,360.00","1,341.80","1,360.00","1,341.70","","1.50%"
"06/12/2008","1,339.90","1,335.80","1,353.00","1,331.30","","0.33%"
"06/11/2008","1,335.50","1,357.10","1,357.10","1,335.50","","-1.69%"
"06/10/2008","1,358.40","1,359.00","1,366.80","1,351.60","","-0.25%"
"06/09/2008","1,361.80","1,360.80","1,370.60","1,350.60","","0.08%"
"06/06/2008","1,360.70","1,400.10","1,400.10","1,359.90","","-3.08%"
"06/05/2008","1,404.00","1,377.50","1,404.00","1,377.50","","1.95%"
"06/04/2008","1,377.20","1,376.30","1,388.20","1,371.70","","-0.04%"
"06/03/2008","1,377.70","1,386.40","1,393.10","1,370.10","","-0.58%"
"06/02/2008","1,385.70","1,399.60","1,399.60","1,377.80","","-1.05%"
"05/30/2008","1,400.40","1,398.40","1,404.50","1,398.10","","0.15%"
"05/29/2008","1,398.30","1,390.50","1,406.30","1,388.60","","0.54%"
"05/28/2008","1,390.80","1,386.50","1,391.20","1,378.20","","0.40%"
"05/27/2008","1,385.30","1,376.00","1,387.40","1,373.10","","0.68%"
"05/23/2008","1,375.90","1,392.20","1,392.20","1,373.70","","-1.32%"
"05/22/2008","1,394.30","1,390.80","1,399.10","1,390.20","","0.26%"
"05/21/2008","1,390.70","1,414.10","1,419.10","1,388.80","","-1.61%"
"05/20/2008","1,413.40","1,424.50","1,424.50","1,409.10","","-0.93%"
"05/19/2008","1,426.60","1,425.30","1,440.20","1,421.60","","0.09%"
"05/16/2008","1,425.30","1,423.90","1,425.80","1,414.30","","0.12%"
"05/15/2008","1,423.60","1,408.40","1,424.40","1,406.90","","1.06%"
"05/14/2008","1,408.70","1,405.70","1,420.20","1,405.70","","0.41%"
"05/13/2008","1,403.00","1,404.40","1,406.30","1,396.30","","-0.04%"
"05/12/2008","1,403.60","1,389.40","1,404.10","1,386.20","","1.10%"
"05/09/2008","1,388.30","1,394.90","1,394.90","1,384.10","","-0.67%"
"05/08/2008","1,397.70","1,394.30","1,402.30","1,389.40","","0.37%"
"05/07/2008","1,392.60","1,417.50","1,419.50","1,391.20","","-1.81%"
"05/06/2008","1,418.30","1,405.60","1,421.60","1,397.10","","0.77%"
"05/05/2008","1,407.50","1,412.80","1,415.70","1,404.40","","-0.45%"
"05/02/2008","1,413.90","1,409.20","1,422.70","1,406.20","","0.33%"
"05/01/2008","1,409.30","1,386.00","1,410.10","1,383.10","","1.71%"
"04/30/2008","1,385.60","1,391.20","1,404.60","1,384.20","","-0.38%"
"04/29/2008","1,390.90","1,395.60","1,397.00","1,386.70","","-0.39%"
"04/28/2008","1,396.40","1,398.00","1,402.90","1,394.40","","-0.10%"
"04/25/2008","1,397.80","1,387.90","1,399.10","1,380.00","","0.65%"
"04/24/2008","1,388.80","1,380.50","1,397.70","1,371.10","","0.64%"
"04/23/2008","1,379.90","1,378.40","1,387.90","1,372.20","","0.29%"
"04/22/2008","1,375.90","1,386.40","1,386.40","1,369.80","","-0.89%"
"04/21/2008","1,388.20","1,387.70","1,390.20","1,379.20","","-0.15%"
"04/18/2008","1,390.30","1,369.00","1,395.90","1,369.00","","1.81%"
"04/17/2008","1,365.60","1,363.40","1,368.60","1,357.20","","0.07%"
"04/16/2008","1,364.70","1,337.00","1,365.50","1,337.00","","2.27%"
"04/15/2008","1,334.40","1,331.70","1,337.70","1,324.30","","0.46%"
"04/14/2008","1,328.30","1,332.20","1,335.60","1,326.20","","-0.34%"
"04/11/2008","1,332.80","1,358.00","1,358.00","1,331.20","","-2.04%"
"04/10/2008","1,360.50","1,355.40","1,367.20","1,350.10","","0.44%"
"04/09/2008","1,354.50","1,365.50","1,368.40","1,350.00","","-0.81%"
"04/08/2008","1,365.50","1,370.20","1,370.20","1,360.60","","-0.51%"
"04/07/2008","1,372.50","1,373.70","1,386.70","1,369.00","","0.15%"
"04/04/2008","1,370.40","1,369.80","1,380.90","1,362.80","","0.08%"
"04/03/2008","1,369.30","1,365.70","1,375.70","1,358.70","","0.13%"
"04/02/2008","1,367.50","1,370.00","1,378.00","1,361.50","","-0.20%"
"04/01/2008","1,370.20","1,326.40","1,370.20","1,326.40","","3.59%"
"03/31/2008","1,322.70","1,315.90","1,328.50","1,312.80","","0.57%"
"03/28/2008","1,315.20","1,327.00","1,334.90","1,313.00","","-0.80%"
"03/27/2008","1,325.80","1,340.30","1,345.60","1,325.70","","-1.14%"
"03/26/2008","1,341.10","1,352.50","1,352.50","1,336.40","","-0.88%"
"03/25/2008","1,353.00","1,349.10","1,357.50","1,341.20","","0.23%"
"03/24/2008","1,349.90","1,330.30","1,359.70","1,330.30","","1.53%"
"03/20/2008","1,329.50","1,299.70","1,330.70","1,295.20","","2.40%"
"03/19/2008","1,298.40","1,331.00","1,341.50","1,298.40","","-2.43%"
"03/18/2008","1,330.70","1,277.20","1,330.70","1,277.20","","4.24%"
"03/17/2008","1,276.60","1,283.20","1,287.50","1,257.00","","-0.89%"
"03/14/2008","1,288.10","1,316.00","1,321.50","1,274.90","","-2.08%"
"03/13/2008","1,315.50","1,305.30","1,321.70","1,282.10","","0.51%"
"03/12/2008","1,308.80","1,321.10","1,333.30","1,307.90","","-0.90%"
"03/11/2008","1,320.70","1,274.40","1,320.70","1,274.40","","3.71%"
"03/10/2008","1,273.40","1,293.20","1,295.00","1,272.70","","-1.55%"
"03/07/2008","1,293.40","1,301.50","1,313.20","1,282.40","","-0.84%"
"03/06/2008","1,304.30","1,332.20","1,332.20","1,303.40","","-2.20%"
"03/05/2008","1,333.70","1,327.70","1,344.20","1,320.20","","0.52%"
"03/04/2008","1,326.80","1,329.60","1,331.00","1,307.40","","-0.34%"
"03/03/2008","1,331.30","1,330.50","1,335.10","1,320.00","","0.05%"
"02/29/2008","1,330.60","1,364.10","1,364.10","1,325.40","","-2.71%"
"02/28/2008","1,367.70","1,378.20","1,378.20","1,363.20","","-0.89%"
"02/27/2008","1,380.00","1,379.00","1,388.30","1,372.00","","-0.09%"
"02/26/2008","1,381.30","1,371.80","1,387.30","1,363.30","","0.69%"
"02/25/2008","1,371.80","1,352.80","1,374.40","1,346.00","","1.38%"
"02/22/2008","1,353.10","1,344.20","1,354.30","1,327.00","","0.79%"
"02/21/2008","1,342.50","1,362.20","1,367.90","1,339.30","","-1.29%"
"02/20/2008","1,360.00","1,348.40","1,363.70","1,336.50","","0.83%"
"02/19/2008","1,348.80","1,355.90","1,367.30","1,345.00","","-0.09%"
"02/15/2008","1,350.00","1,347.50","1,350.00","1,338.10","","0.08%"
"02/14/2008","1,348.90","1,367.30","1,368.20","1,347.30","","-1.34%"
"02/13/2008","1,367.20","1,353.10","1,369.20","1,350.80","","1.36%"
"02/12/2008","1,348.90","1,340.50","1,362.10","1,339.40","","0.73%"
"02/11/2008","1,339.10","1,331.90","1,341.40","1,320.30","","0.59%"
